config,n,em,f1,semantic
Baseline mT5 (1x),848,0.031839622641509434,0.0707904644318497,0.29250797629356384
Baseline ByT5 (1x),848,0.024764150943396228,0.07258117689162871,0.3264935314655304
Matched-Vol mT5 (20x),848,0.19693396226415094,0.236002883206648,0.439432293176651
Matched-Vol ByT5 (20x),848,0.21933962264150944,0.2916764708038293,0.5128065347671509
Multitask mT5 (NER→QA),848,0.2099056603773585,0.2622742299629092,0.46909546852111816
Multitask ByT5 (NER→QA),848,0.19221698113207547,0.27174058907549475,0.47617632150650024
mT5 LoRA Multitask,848,0.16391509433962265,0.20002474108913484,0.3980506956577301
ByT5 LoRA Multitask,848,0.04481132075471698,0.09367384656610074,0.3078119456768036
Translation Pipeline,848,0.11556603773584906,0.1893689861733245,
